80,18372,"Wolska",51.1469110000,16.8693790000
1371,24409,"Chełmońskiego",51.1037567700,17.0909274000
261,12125,"Nowy Dwór (Rogowska)",51.1186231100,16.9548696300
235,10511,"Inowrocławska",51.1154377400,17.0152886900
2342,16705,"WAŁBRZYSKA",51.0648963600,16.9761323900
1627,24413,"Spółdzielcza",51.1022060200,17.1018083900
247,10548,"Śrubowa",51.1124317600,17.0010101300
1704,18389,"RUBCZAKA (Stacja kolejowa)",51.1433057600,16.8663781800
3462,24324,"Godebskiego (AWF Wrocław)",51.1138679100,17.0987194000
219,10517,"DŁUGA (Politechnika)",51.1252886200,17.0100183300
766,29302,"Palacha",51.1405715000,17.1264309300
